     Energy       Flux            PL            PC          PL45   Filtered
         eV  ph/s/0.1%             -             -             -          -
2.71000e+04  2.710e+12  9.001627e-01  0.000000e+00  0.000000e+00  2.432e+12
2.72000e+04  2.703e+12  9.001458e-01  0.000000e+00  0.000000e+00  2.426e+12
2.73000e+04  2.695e+12  9.001294e-01  0.000000e+00  0.000000e+00  2.419e+12
2.74000e+04  2.688e+12  9.001133e-01  0.000000e+00  0.000000e+00  2.412e+12
2.75000e+04  2.681e+12  9.000977e-01  0.000000e+00  0.000000e+00  2.406e+12
2.76000e+04  2.674e+12  9.000824e-01  0.000000e+00  0.000000e+00  2.399e+12
2.77000e+04  2.667e+12  9.000676e-01  0.000000e+00  0.000000e+00  2.392e+12
2.78000e+04  2.660e+12  9.000531e-01  0.000000e+00  0.000000e+00  2.385e+12
2.79000e+04  2.653e+12  9.000390e-01  0.000000e+00  0.000000e+00  2.379e+12
2.80000e+04  2.645e+12  9.000253e-01  0.000000e+00  0.000000e+00  2.372e+12
2.81000e+04  2.638e+12  9.000120e-01  0.000000e+00  0.000000e+00  2.365e+12
2.82000e+04  2.631e+12  9.000003e-01  0.000000e+00  0.000000e+00  2.358e+12
2.83000e+04  2.624e+12  8.999878e-01  0.000000e+00  0.000000e+00  2.351e+12
2.84000e+04  2.617e+12  8.999757e-01  0.000000e+00  0.000000e+00  2.344e+12
2.85000e+04  2.610e+12  8.999640e-01  0.000000e+00  0.000000e+00  2.337e+12
2.86000e+04  2.602e+12  8.999526e-01  0.000000e+00  0.000000e+00  2.330e+12
2.87000e+04  2.595e+12  8.999415e-01  0.000000e+00  0.000000e+00  2.323e+12
2.88000e+04  2.588e+12  8.999309e-01  0.000000e+00  0.000000e+00  2.316e+12
2.89000e+04  2.581e+12  8.999206e-01  0.000000e+00  0.000000e+00  2.309e+12
2.90000e+04  2.573e+12  8.999106e-01  0.000000e+00  0.000000e+00  2.302e+12
2.91000e+04  2.566e+12  8.999010e-01  0.000000e+00  0.000000e+00  2.295e+12
2.92000e+04  2.559e+12  8.998918e-01  0.000000e+00  0.000000e+00  2.288e+12
2.93000e+04  2.552e+12  8.998829e-01  0.000000e+00  0.000000e+00  2.280e+12
2.94000e+04  2.545e+12  8.998744e-01  0.000000e+00  0.000000e+00  2.273e+12
2.95000e+04  2.537e+12  8.998661e-01  0.000000e+00  0.000000e+00  2.266e+12
2.96000e+04  2.530e+12  8.998583e-01  0.000000e+00  0.000000e+00  2.259e+12
2.97000e+04  2.523e+12  8.998507e-01  0.000000e+00  0.000000e+00  2.252e+12
2.98000e+04  2.516e+12  8.998435e-01  0.000000e+00  0.000000e+00  2.245e+12
2.99000e+04  2.508e+12  8.998366e-01  0.000000e+00  0.000000e+00  2.238e+12
